DATE,LMO_Detailed_Industry,Employment
1997-12-01,Other retail trade (excluding cars and personal care) ,14500
1997-12-01,Paper manufacturing,25500
1997-12-01,"Performing arts, spectator sports and related industries",18750
1997-12-01,"Postal service, couriers and messengers",11250
1997-12-01,Primary metal manufacturing,7750
1997-12-01,Private and trades education,5500
1997-12-01,Provincial and territorial public administration,28000
1997-12-01,Publishing industries,14250
1997-12-01,Rail transportation,9500
1997-12-01,Real estate rental and leasing,39250
1997-12-01,"Repair, personal and non-profit services",88500
1997-12-01,Ship and boat building,6000
1997-12-01,Social assistance,50500
1997-12-01,Support activities for agriculture and forestry,16000
1997-12-01,Support activities for mining and oil and gas extraction,4500
1997-12-01,Support activities for transportation,9500
1997-12-01,Telecommunications,27500
1997-12-01,"Transit, sightseeing, and pipeline transportation",500
1997-12-01,Transportation equipment manufacturing (excluding shipbuilding),250
1997-12-01,Truck transportation,25000
1997-12-01,Universities,18750
1997-12-01,Utilities,10000
1997-12-01,Warehousing and storage,2750
1997-12-01,Water transportation,6750
1997-12-01,Wholesale trade,70250
1997-12-01,Wood product manufacturing,45500
1998-01-01,Accommodation services,34000
1998-01-01,Air transportation,20500
1998-01-01,Ambulatory health care services,46000
1998-01-01,"Amusement, gambling and recreation industries",17250
1998-01-01,"Architectural, engineering and related services",22750
1998-01-01,"Broadcasting, data processing, and information",4250
1998-01-01,"Business, building and other support services",57250
1998-01-01,Community colleges,11250
1998-01-01,Computer systems design and related services,20000
1998-01-01,Construction,117000
1998-01-01,Elementary and secondary schools,77500
1998-01-01,Fabricated metal product manufacturing,9000
1998-01-01,Farms,13500
1998-01-01,Federal government public administration,31000
1998-01-01,Finance,42250
1998-01-01,"Fishing, hunting and trapping",2750
1998-01-01,Food services and drinking places,107000
1998-01-01,"Food, beverage and tobacco manufacturing",2000
1998-01-01,Forestry and logging,21250
1998-01-01,Health and personal care stores,18750
1998-01-01,Heritage institutions,1250
1998-01-01,Hospitals,60750
1998-01-01,Insurance carriers and related activities,27500
1998-01-01,"Legal, accounting, design, research, and advertising services",17500
1998-01-01,Local and Indigenous public administration,2250
1998-01-01,Machinery manufacturing,7750
1998-01-01,"Management, scientific and technical consulting services",16000
1998-01-01,Mining,9000
1998-01-01,Motion picture and sound recording industries,5000
1998-01-01,Motor vehicle and parts dealers,20750
1998-01-01,Nursing and residential care facilities,29000
1998-01-01,Oil and gas extraction,1250
1998-01-01,Other manufacturing,5500
1998-01-01,Other retail trade (excluding cars and personal care) ,15000
1998-01-01,Paper manufacturing,26000
1998-01-01,"Performing arts, spectator sports and related industries",16250
1998-01-01,"Postal service, couriers and messengers",8500
1998-01-01,Primary metal manufacturing,8250
1998-01-01,Private and trades education,5250
1998-01-01,Provincial and territorial public administration,29500
1998-01-01,Publishing industries,12750
1998-01-01,Rail transportation,10000
1998-01-01,Real estate rental and leasing,40250
1998-01-01,"Repair, personal and non-profit services",88750
1998-01-01,Ship and boat building,4250
1998-01-01,Social assistance,53250
1998-01-01,Support activities for agriculture and forestry,14500
1998-01-01,Support activities for mining and oil and gas extraction,4500
1998-01-01,Support activities for transportation,8000
1998-01-01,Telecommunications,27750
1998-01-01,"Transit, sightseeing, and pipeline transportation",500
1998-01-01,Transportation equipment manufacturing (excluding shipbuilding),250
1998-01-01,Truck transportation,25000
1998-01-01,Universities,18750
1998-01-01,Utilities,10000
1998-01-01,Warehousing and storage,3250
1998-01-01,Water transportation,6250
1998-01-01,Wholesale trade,64250
1998-01-01,Wood product manufacturing,43250
1998-02-01,Accommodation services,33750
1998-02-01,Air transportation,18750
1998-02-01,Ambulatory health care services,47750
1998-02-01,"Amusement, gambling and recreation industries",15750
1998-02-01,"Architectural, engineering and related services",22500
1998-02-01,"Broadcasting, data processing, and information",5500
1998-02-01,"Business, building and other support services",63250
1998-02-01,Community colleges,10000
1998-02-01,Computer systems design and related services,15000
1998-02-01,Construction,119750
1998-02-01,Elementary and secondary schools,78000
1998-02-01,Fabricated metal product manufacturing,9000
1998-02-01,Farms,13000
1998-02-01,Federal government public administration,27250
1998-02-01,Finance,44500
1998-02-01,"Fishing, hunting and trapping",2250
1998-02-01,Food services and drinking places,107500
1998-02-01,"Food, beverage and tobacco manufacturing",2500
1998-02-01,Forestry and logging,23000
1998-02-01,Health and personal care stores,17750
1998-02-01,Heritage institutions,250
1998-02-01,Hospitals,56000
1998-02-01,Insurance carriers and related activities,24250
1998-02-01,"Legal, accounting, design, research, and advertising services",14250
1998-02-01,Local and Indigenous public administration,2750
1998-02-01,Machinery manufacturing,7750
1998-02-01,"Management, scientific and technical consulting services",19000
1998-02-01,Mining,9000
1998-02-01,Motion picture and sound recording industries,7250
1998-02-01,Motor vehicle and parts dealers,21500
1998-02-01,Nursing and residential care facilities,28000
1998-02-01,Oil and gas extraction,1500
1998-02-01,Other manufacturing,5750
1998-02-01,Other retail trade (excluding cars and personal care) ,13500
1998-02-01,Paper manufacturing,23250
1998-02-01,"Performing arts, spectator sports and related industries",18000
1998-02-01,"Postal service, couriers and messengers",7250
1998-02-01,Primary metal manufacturing,8250
1998-02-01,Private and trades education,4000
1998-02-01,Provincial and territorial public administration,30750
1998-02-01,Publishing industries,15250
1998-02-01,Rail transportation,9750
1998-02-01,Real estate rental and leasing,40000
1998-02-01,"Repair, personal and non-profit services",85250
1998-02-01,Ship and boat building,4750
1998-02-01,Social assistance,58000
1998-02-01,Support activities for agriculture and forestry,12750
1998-02-01,Support activities for mining and oil and gas extraction,3750
1998-02-01,Support activities for transportation,6750
1998-02-01,Telecommunications,24000
1998-02-01,"Transit, sightseeing, and pipeline transportation",750
1998-02-01,Transportation equipment manufacturing (excluding shipbuilding),1500
1998-02-01,Truck transportation,25250
1998-02-01,Universities,20500
1998-02-01,Utilities,10500
1998-02-01,Warehousing and storage,3500
1998-02-01,Water transportation,6750
1998-02-01,Wholesale trade,66750
1998-02-01,Wood product manufacturing,41750
1998-03-01,Accommodation services,32000
1998-03-01,Air transportation,19500
1998-03-01,Ambulatory health care services,45500
1998-03-01,"Amusement, gambling and recreation industries",14000
1998-03-01,"Architectural, engineering and related services",23000
1998-03-01,"Broadcasting, data processing, and information",6000
1998-03-01,"Business, building and other support services",65250
1998-03-01,Community colleges,12500
1998-03-01,Computer systems design and related services,16750
1998-03-01,Construction,112250
1998-03-01,Elementary and secondary schools,77750
1998-03-01,Fabricated metal product manufacturing,8750
1998-03-01,Farms,12750
1998-03-01,Federal government public administration,27250
1998-03-01,Finance,42500
1998-03-01,"Fishing, hunting and trapping",3500
1998-03-01,Food services and drinking places,110750
1998-03-01,"Food, beverage and tobacco manufacturing",2750
1998-03-01,Forestry and logging,21500
1998-03-01,Health and personal care stores,15000
1998-03-01,Heritage institutions,250
1998-03-01,Hospitals,58250
1998-03-01,Insurance carriers and related activities,23500
1998-03-01,"Legal, accounting, design, research, and advertising services",13750
1998-03-01,Local and Indigenous public administration,2750
1998-03-01,Machinery manufacturing,6500
1998-03-01,"Management, scientific and technical consulting services",19750
1998-03-01,Mining,10000
1998-03-01,Motion picture and sound recording industries,6500
1998-03-01,Motor vehicle and parts dealers,21500
1998-03-01,Nursing and residential care facilities,28250
1998-03-01,Oil and gas extraction,2250
1998-03-01,Other manufacturing,5500
1998-03-01,Other retail trade (excluding cars and personal care) ,13000
1998-03-01,Paper manufacturing,22500
1998-03-01,"Performing arts, spectator sports and related industries",21500
1998-03-01,"Postal service, couriers and messengers",6250
1998-03-01,Primary metal manufacturing,8250
1998-03-01,Private and trades education,3250
1998-03-01,Provincial and territorial public administration,34750
1998-03-01,Publishing industries,14000
1998-03-01,Rail transportation,10250
1998-03-01,Real estate rental and leasing,43250
1998-03-01,"Repair, personal and non-profit services",85000
1998-03-01,Ship and boat building,5500
1998-03-01,Social assistance,58750
1998-03-01,Support activities for agriculture and forestry,11750
1998-03-01,Support activities for mining and oil and gas extraction,3500
1998-03-01,Support activities for transportation,7750
1998-03-01,Telecommunications,23000
1998-03-01,"Transit, sightseeing, and pipeline transportation",1000
1998-03-01,Transportation equipment manufacturing (excluding shipbuilding),1000
1998-03-01,Truck transportation,25500
1998-03-01,Universities,19750
1998-03-01,Utilities,10750
1998-03-01,Warehousing and storage,2250
1998-03-01,Water transportation,7500
1998-03-01,Wholesale trade,64500
1998-03-01,Wood product manufacturing,40000
1998-04-01,Accommodation services,31250
1998-04-01,Air transportation,14500
1998-04-01,Ambulatory health care services,44750
1998-04-01,"Amusement, gambling and recreation industries",15250
1998-04-01,"Architectural, engineering and related services",26500
1998-04-01,"Broadcasting, data processing, and information",8000
1998-04-01,"Business, building and other support services",64500
1998-04-01,Community colleges,13750
1998-04-01,Computer systems design and related services,17250
1998-04-01,Construction,113000
1998-04-01,Elementary and secondary schools,77250
1998-04-01,Fabricated metal product manufacturing,7500
1998-04-01,Farms,12500
1998-04-01,Federal government public administration,29000
1998-04-01,Finance,39750
1998-04-01,"Fishing, hunting and trapping",4000
1998-04-01,Food services and drinking places,111500
1998-04-01,"Food, beverage and tobacco manufacturing",3750
1998-04-01,Forestry and logging,19250
1998-04-01,Health and personal care stores,18500
1998-04-01,Heritage institutions,750
1998-04-01,Hospitals,60000
1998-04-01,Insurance carriers and related activities,21750
1998-04-01,"Legal, accounting, design, research, and advertising services",14500
1998-04-01,Local and Indigenous public administration,2250
1998-04-01,Machinery manufacturing,6250
1998-04-01,"Management, scientific and technical consulting services",17500
1998-04-01,Mining,10750
1998-04-01,Motion picture and sound recording industries,6000
1998-04-01,Motor vehicle and parts dealers,24500
